ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,liczba_zdających_polski,mean_polski,std_dev_polski,median_polski,mode_polski,liczba_zdających_matematyka,mean_matematyka,std_dev_matematyka,median_matematyka,mode_matematyka,liczba_zdających_angielski,mean_angielski,std_dev_angielski,median_angielski,mode_angielski
7,Mazowieckie,Białobrzeski,Białobrzegi,Obszar wiejski,1401015,53424,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W SUCHEJ,Sucha,ul. Szlachecka 88A,14,63.35714286,17.42988871,61.5,44.0,14,52.21428571,27.55819446,43.5,23.0,14.0,68.78571429,24.44287384,75.5,
7,Mazowieckie,Białobrzeski,Białobrzegi,Miasto,1401014,53602,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 1 IM. KOMISJI EDUKACJI NARODOWEJ W BIAŁOBRZEGACH,Białobrzegi,ul. Rzemieślnicza 21,71,57.09859155,19.28011084,62.0,64.0,71,45.36619718,26.70086744,40.0,17.0,70.0,67.18571429,26.63740274,74.5,95.0
7,Mazowieckie,Białobrzeski,Promna,Gmina wiejska,1401022,26129,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W OLKOWICACH,Olkowice,23,11,60.63636364,10.52505865,60.0,53.0,11,64.0,17.20993371,67.0,50.0,11.0,70.09090909,25.26029779,75.0,91.0
7,Mazowieckie,Białobrzeski,Promna,Gmina wiejska,1401022,31929,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. WŁADYSŁAWA ROSŁOŃCA W PRZYBYSZEWIE,Przybyszew,ul. Władysława Rosłońca 5,16,46.6875,17.71905313,47.0,47.0,16,27.0,24.54842154,17.0,17.0,16.0,53.625,31.15259821,49.5,
7,Mazowieckie,Białobrzeski,Promna,Gmina wiejska,1401022,26130,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. TADEUSZA KIERZKOWSKIEGO W PROMNIE,Promna-Kolonia,39,16,58.1875,25.01054465,65.5,69.0,16,42.9375,34.44464536,35.0,3.0,16.0,58.625,34.44901123,63.0,96.0
7,Mazowieckie,Białobrzeski,Radzanów,Gmina wiejska,1401032,80552,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. HENRYKA SIENKIEWICZA W ROGOLINIE,Rogolin,4a,20,63.15,13.73417271,61.0,60.0,20,40.35,29.85845776,28.5,13.0,20.0,53.55,28.67834549,48.0,20.0
7,Mazowieckie,Białobrzeski,Radzanów,Gmina wiejska,1401032,74430,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. DIONIZEGO FELIKSA CZACHOWSKIEGO W BUKÓWNIE,Bukówno,1,10,63.7,16.42589419,60.0,60.0,10,44.8,28.002857,40.0,77.0,10.0,67.5,24.88875248,65.5,
7,Mazowieckie,Białobrzeski,Radzanów,Gmina wiejska,1401032,80553,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W CZARNOCINIE,Czarnocin,58,5,56.4,23.28604732,69.0,,5,48.6,27.55068057,53.0,17.0,5.0,79.8,31.92115286,95.0,95.0
7,Mazowieckie,Białobrzeski,Stara Błotnica,Gmina wiejska,1401042,85604,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W STARYM GOŹDZIE,Stary Gózd,90,24,64.125,14.14010991,68.0,69.0,24,50.83333333,21.37690862,45.0,33.0,24.0,59.95833333,28.32766487,60.0,20.0
7,Mazowieckie,Białobrzeski,Stara Błotnica,Gmina wiejska,1401042,85601,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. OJCA ŚWIĘTEGO JANA PAWŁA II W STAREJ BŁOTNICY,Stara Błotnica,49,37,58.0,17.66505177,60.0,60.0,37,41.83783784,21.60769822,40.0,40.0,37.0,54.91891892,28.93831125,51.0,87.0
7,Mazowieckie,Białobrzeski,Stara Błotnica,Gmina wiejska,1401042,55748,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. BISKUPA JANA CHRAPKA W STARYCH SIEKLUKACH,Stare Siekluki,78,14,66.21428571,9.689306119,67.0,62.0,14,40.21428571,22.58374438,33.5,30.0,14.0,65.14285714,25.28934599,73.0,95.0
7,Mazowieckie,Białobrzeski,Stromiec,Gmina wiejska,1401052,9148,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. DIONIZEGO CZACHOWSKIEGOW STROMCU,Stromiec,ul. Radomska 27,23,51.0,18.84721176,49.0,47.0,23,37.04347826,25.18190907,30.0,17.0,23.0,55.91304348,29.84585478,53.0,27.0
7,Mazowieckie,Białobrzeski,Stromiec,Gmina wiejska,1401052,7705,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. ARMII KRAJOWEJ W BOŻEM,Boże,1,4,,,,,4,,,,,4.0,,,,
